a	un, uno, una[Article]
to examine, treat of, discuss.	dissero
to excell.	exsupero
to excite, agitate, stir up, move.	permoveo
to excite, prompt, suggest, assign, bring to mind, offer.	suggero
to excite, spur, inspire, increase /hasten, urge on.	incito
to execute completely, enjoy to the full.	perfruor
to execute, avenge, punish /relate, describe, explain.	exsequor
to exempt from blame, excuse, make excuses, plead.	excuso
to exert oneself.	desudo
to exhaust, make out.	exhaurio
to expend.	impendo
to explain, explain, reveal.	declaro
to explain.	interpretor
to expose.	detego
to expound, display.	expono
to extend, aim, direct, direct one's course, aim at.	intendo
to extend.	propago
to extinguish, put out.	exstinguo, exstingui, exstinctum
to extol.	magnifico
to extreme poverty.	egestas
to exult, be joyful.	exulto
to fabricate, make up.	confingo
to fail, be wanting/ fail in duty, commit a crime.	delinquo
to fail, err, fall short, be missing, absent.	desum, defui, deesse
to fall asleep.	obdormio
to fall back upon, be reduced to, be brought to.	redeo
to fall back, pass away, depart.	recedo
to fall down / fall dead, die / sink, fall.	decido
to fall down /to happen, occur / to hack, hew /to ruin.	accido
to fall down at another's feet.	provolvo
to fall down, sink, perish / (wind) subside.	concido
to fall ill, become troubled, grow worse.	aegresco, egresco
to fall in love with, find pleasure in.	adamo
to fall in or on, fall in with /happen, occur.	incido
to fall into confusion.	vacillo
to fall prey to death.	praeoccupor morte
to fall prostrate.	procido
to fall to the ground, sink down /be ruined, destroyed.	corruo
to fall upon again, repeat, demand repeatedly, return.	repeto
to fall upon, assail, attack, assault.	ingruo
to fall upon.	expeto
to fall violently upon, assail, assault.	ingruo
to fall, drop, plummet, topple.	cado
to fall, fall down, (for the sun) to set.	occido, occidi, occasum
to fall, fall into, lie down.	decumbo
to fall, topple, drop /fall dead.	occumbo
to fall.	occumbo
to falter in fidelity, give way to, waver in opinion, doubt.	nuto
to fan /to wave something.	ventilo
to fashion.	formo
to fasten down, make fast, fix /determine settle /appoint.	destino
to fasten together, hold in check, curb.	compescor
to fasten together.	necto
to fasten.	defigo
to fatten.	sagino
to favor, befriend, delight in approval.	faveo
to fear, be afraid, dread.	timeo
to fear, dread, be frightened.	metuo
to fear.	vereor
to feast, banquet, dine.	epulor
to feast, feast on.	epulor
to feed upon.	depascor
to feed, to eat.	vesco, vescor
to feel deeply.	persentio
to feel diffident, ashamed.	verecundor
to feel one's way.	palpo
to feel the want of.	careo
to feel, judge, suppose, vote.	sentio
to fell, fall, be fruitless, kill.	caedo
to fertilize /cheer, gladden, delight.	laetifico, letifico
to fetter.	constringo
to fight against, attack, assault, assail.	oppugno
to fight, attack, oppose.	objurgo
to fight, strike, deal blows, lash out.	ferito
to fight.	pugno
to fighten, terrify, intimidate.	territo
to fill in (or up), satisfy, content, fulfil, perform.	impleo
to fill up, content, satisfy.	impleo
to fill up, man, bring up to strength, fulfil.	compleo
to fill up, stuff.	farci, farci, fartum
to fill up.	impleo
to fill, fill up, complete, finish.	expleo explevi expletum
to fill, satisfy.	saturo
to finish, complete.	compleo
to fish out, find out, discover.	expiscor
to fit, approve, be suitable, proper, fit.	apto
to fix in advance.	praedico
to fix the limits of, set boundaries to, delimit.	determino
to fix, fasten /to imprint, impress.	infigo
to fix, hammer in, drive in, fasten.	pango
to fix, station, place, cause to stand, set.	constituo
to flash, shine, beam.	fulgeo (fulsi )
to flash.	fulgur
to flash.	reniteo
to flatter, caress, (+ dat.) coax.	blandior
to flatter.	blandio
to flee, escape, fly away, rush out.	evolo
to flee, escape, runa aaway /avoid, shun.	fugio
to flee, have recourse to, take refuge.	confugo
to flee, retreat, run awar.	terga dare
to flee/ interpret, understand/ upset, overthrow.	verto
to flourish, bloom.	vigeo
to flow away, disappear, be lost.	defluo
to flow down, waste, disappear.	defluo
to flow in /to rush in, steal in.	influo influi influxum
to flow out, spread /arise, emanate, originate.	emanio
to flow, pour, stream.	fluo
to flow.	mano
to fly or cut through.	seco
to fly, speed, move rapidly.	volo
to fold together.	complico
to fold.	plico
to follow after.	subsequor
to follow to the grave, follow to the end.	exsequor exequor
to follow, pursue, assail, reproach, rebuke, attack.	insequor
to follow, pursue, take revenge.	persequor persequi persecutus
to follow, trail.	sequor
to forbid, prohibit, outlaw, gain an injunction.	interdico
to forbid.	interdico
to force, compel, coerce.	coacto
to foreknow.	praescio
to foresee, provide, make provision for.	provideo
to foretell, announce before hand.	praenuntio, prenuntio
to forgive, send back.	remitto
to forgive.	justifico
to form again, re-establish, mould anew.	reformo
to form by beating with a hammer, invent, devise.	extundo
to form, fashion, make /duplicate, copy.	effingo
to forsake, desert, abandon.	derelinquo
to forsake.	linquo
to fortify, defend, protect /build a road.	munio
to forwarn.	praemoneo
to foster, draw out.	educo
to foster, support, encourage.	foveo, fovi, fotum
to found, establish.	fundo
to free from a snare, disentangle /ready, settled, arranged.	expedio
to free from faults, emend, edit.	emendo
to free, release, take out, remove, waste.	eximo
to freeze.	gelo
to frighten, terrify, scare away, deter.	terreo
to fulfill, finish.	expleo
to fulfill, perform, carry out.	adimpleo
to furl sails.	lego vela
to furnish, equip, provide /instigate secretly, suborn.	suborno
to furnish, offer.	praesto
to furnish, provide, supply.	exorno
to gab, chatter.	effutio
to gain, learn, perceive, understand.	percipio percepi perceptum
to gain, profit, win.	lucror
to gain.	obtineo
to gape /yearn for, desire, want, covet.	inhio
to gape wide.	hio
to gather strength, become stronger.	invalesco
to gather together, assemble, convene.	congrego
to gather together, assemble, draw up, unite.	contraho
to gather, choose, collect, pass through, read.	lego
to get again, find, ascertain, invent, find again.	reperio
to get into a certain state, to fall into.	venio
to get the start of/ to forestall, prevent, hinder.	praevenio
to get up , arise.	surgo surrexi surrectum
to get wet.	madesco
to get, accomplish, effect, obtain (by asking).	impetro
to gird, encircle.	praecingo
to give a hint.	summoneo
to give a nod to, give a sign to.	innuo
to give a ruling, make an arrangment, decide.	statuo
to give again, give as due.	retribuo
to give assent, approve.	annuo
to give back, give up.	redono
to give back, restore, return /answer, translate, render.	reddo
to give bountifully, shower (with gifts).	largior
to give duration, to render old.	invetero
to give forth, foam.	exaestuo
to give in abundance.	suppedito
to give orders, command /to rule, hold sway.	impero
to give out, divide, allot, assign, grant, give, allow.	tribuo
to give permission/ to experience, suffer (troubles).	facio
to give way, totter.	labasco
to give, bring, place, / inspire, cause,/ add, join.	addo
to give, offer, convey, offer, donate, furnish.	do
to give, present.	munero/munerior
to give.	dono
to gleam especially.	praeniteo
to gleam faintly, glimmer, glow.	subluceo
to gleam.	eniteo
to gleam.	splendeo
to glide away, flow under, slip away, escape.	subterlabor
to glide past, translated as transient.	praelabor
to glitter, glittering.	corusco
to glorify, adorn, exalt.	glorifico
to glory, brag, boast, pride oneself.	glorior
to glut oneself, gorge.	ingurgito
to gnash one's teeth, bruise, crush, grind.	frendo
to gnash the teetch.	infrendeo
to go across.	transmeo
to go against, attack, enter, penetrate .	penetro
to go ahead, proceed, advance, continue.	procedo
to go apart, withdraw.	secedo
to go astray, wander, err.	erro
to go away, depart, leave.	abscedo
to go away, desist.	absisto
to go away, retire /depart from life, die.	abeo
to go away.	discedo
to go back, come back, return /(revenue) to come in.	redeo
to go back, retire, recede, retreat.	recipio, recepi, receptum
to go back, retreat, retire, disappear.	recedo
to go back, return, revert.	reverto
to go back.	repedo
to go backwards.	retrogradior
to go before, precede /to say in advance /to order.	praeeo, preeo
to go before.	praeire
to go by, pass by, escape.	pretereo
to go forth, advance, proceed, go out.	progredior
to go off to, betake oneself to, pour forth, inflict.	ingero
to go on, be advantageous, accomplish.	proficio
to go out, come out /result, prosper /turn out well.	procedo
to go out, leave, depart, exit.	egredior, egressus
to go out, set out / get off / escape / result.	evado
to go over, pass over, cross over, go past.	transeo
to go to bed, retire.	cubitum ire
to go to meet, rush upon.	occurro
to go to see, visit, inspect, look at.	inviso
to go to, approach, address, attack.	aggredior
to go to, begin, attack.	aggredior
To go up and down, back and forth, in and out.	commeo
to go, advance, proceed, travel, move along, progress.	eo ire itum
to go, proceed /turn out, happen/go away, withdraw.	cedo
to go, result.	praecedo, praecessi, praecessum
to goad, incite, stimulate, urge.	instigo
to govern.	imperito
to grab, try to get, grab at.	capto
to grace.	decoro
to grant peace.	do pacem
to grant, yield/ withdraw.	cedo, cessi, cessum
to grasp, know, understand.	teneo
to grasp, take together, unite /comprehend.	comprehendo
to graze, forage, browse.	pasco
to greatly adorn.	perorno
to grieve, sorrow.	mador maero
to groan, bellow, roar, low.	mugio
to groan, sigh over.	ingemisco
to groan.	ingemisco
to grow accustomed to, used to, make familiar.	adsuesco assuesco
to grow fat, sleek.	pinguesco
to grow haughty.	insolesco
to grow in or on.	inolesco
to grow mild, ameliorate.	mitesco
to grow mild.	mansuesco
to grow old, to grow aged, to mature, wear out.	senesco
to grow old, weak, feeble, infirm.	consenesco
to grow out of.	subnascor
to grow strong / become fashionable / prevail / be able.	evalesco
to grow strong, gain strength.	convalesco
to grow strong.	valesco
to grow thick.	denso
to grow thickly, abound.	exubero
to grow tired, weary.	defetiscor (defessus)
to grow up after.	succresco
to grow up, mature.	subolesco
to grow very strong.	praevalesco
to grow, mature.	alesco
to growl.	infremo
to grumble, mutter.	mussito
to guard.	custodio
to guide, govern, direct, to rule.	rego, rexi, rectum
to guide, manage, mitigate, measure.	moderor
to guide, serve (food).	administro
to guide.	perduco
to halter, put a halter on a horse.	capistro
to hand over, carry down, communicate, offer, refer.	defero
to handle, manage, perform.	tractare
to hang over, be imminent, threaten.	immineo
to hang over, lie heavily upon / dwell in / watch over.	incubo
to hang over, threaten, menace, be imminent.	impendeo
to hang to, stick to, adhere.	adhaero
to hang, depend, be suspended /be uncertain, undecided.	pendeo
to happen to mention.	incido in mentionem
to harass, attack.	lacesso
to harass, torment.	fatigo
to harden, last, endure.	duro
to harmonize, unite.	concordo
to hasten / accelerate, speed up.	propero
to hasten, hurry, speed.	festino
to hasten, speed, move rapidly, come quickly.	propero
to hasten.	propero
to hate, despite, hold in contempt, dislike strongly.	odio
to have a bad odor, stink.	feteo
to have frequently /dwell, reside /take possession.	habito
to have no hope, despair, give up.	despero
to have read, display, have on show.	promptu, in promptu habere
to have strength, have power, be effective.	valeo
to have the benefit of, to enjoy.	fruor
to have, bear.	gero
to have, hold, possess /consider, regard.	habeo habui habitum
to heal, cure.	medicor
to heal.	sano
to heap.	cumulo
to hear, hearken, listen to.	audio
to hearken to, grant.	exaudio
to heat, boil, melt.	fervefacio
to hedge in.	consepio
to hedge in.	saepio
to help, aid, assist /to please, delight, gratify.	iuvo
to help, aid, assist, succor.	adiuvo
to hesitate.	differo
to hide away.	delitesco
to hide, conceal, cover.	occulto
to hide, conceal, keep secret.	celo
to hide, conceal, secrete.	abscondo
to hinder.	obsum
to hinder.	praepedio
to hint at, suggest, mean.	innuo, innui, innutum
to hit, beat /exile, drive away, banish.	pello pepulli pulsum
to hold back, hinder, keep to oneself.	comprimo
to hold back, restrain, detain, keep, maintain.	retineo
to hold back, restrain.	contineo
to hold back, withhold, restrain.	prohibeo
to hold in, check, restrian /back water /practice.	inhibeo
to hold one's course, conceive.	teneo iter
to hold up, sustain, endure.	sustineo
to hold, keep, possess, maintain /to continue.	obtineo
to hold, keep, possess, maintain.	teneo
to hold, to establish.	statuo
to hold, to keep togethere, to contian.	contineo
to hollow out.	concavo
to honor (a deity), polish, adorn, refine, serve.	excolo
to honor.	honoro
to hope for, hope.	spero
to hope.	spero
to howl loudly.	exululo
to humble, cast aside.	abico
to hunt, loan, join.	faeneror
to hunt,.	venor
to hurl against, strike.	impingo
to hurl, throw /put together, conjecture.	conicio
to ignore, leave unnoticed.	dissimulo
to imbue.	imbuo
to imitate, substitute.	imitor
to impart, render, return, hand over, surrender.	reddo
